NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson.client,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson.client,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,JSON,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,JSONObject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; TAG; KEY_ARRAY; KEY_ID; KEY_ID_IN; KEY_USER_ID; KEY_USER_ID_IN; KEY_ROLE; KEY_TRY; KEY_DROP; KEY_CORRECT; KEY_DATABASE; KEY_SCHEMA; KEY_COLUMN; KEY_COMBINE; KEY_GROUP; KEY_HAVING; KEY_ORDER; TABLE_KEY_LIST
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,JSONObject,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,JSONRequest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; KEY_TAG; KEY_VERSION; KEY_FORMAT; QUERY_TABLE; QUERY_TOTAL; QUERY_ALL; KEY_QUERY; KEY_COUNT; KEY_PAGE; KEY_JOIN; ARRAY_KEY_LIST
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,JSONResponse,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; TAG; CODE_SUCCESS; CODE_UNSUPPORTED_ENCODING; CODE_ILLEGAL_ACCESS; CODE_UNSUPPORTED_OPERATION; CODE_NOT_FOUND; CODE_ILLEGAL_ARGUMENT; CODE_NOT_LOGGED_IN; CODE_TIME_OUT; CODE_CONFLICT; CODE_CONDITION_ERROR; CODE_UNSUPPORTED_TYPE; CODE_OUT_OF_RANGE; CODE_NULL_POINTER; CODE_SERVER_ERROR; MSG_SUCCEED; MSG_SERVER_ERROR; KEY_CODE; KEY_MSG; KEY_COUNT; KEY_TOTAL
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,JSONResponse,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JSONObject
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,JSONResponse,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson,SQL,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: OR; AND; NOT; AS; IS; NULL; COUNT; SUM; MAX; MIN; AVG; SEARCH_TYPE_CONTAIN_FULL; SEARCH_TYPE_CONTAIN_ORDER; SEARCH_TYPE_CONTAIN_SINGLE; SEARCH_TYPE_CONTAIN_ANY; SEARCH_TYPE_START; SEARCH_TYPE_END; SEARCH_TYPE_START_SINGLE; SEARCH_TYPE_END_SINGLE; SEARCH_TYPE_PART_MATCH
