HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriter,isClassInPackage,Magic Number,The method contains a magic number: 2
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriter,beginType,Long Parameter List,The method has 5 parameters. 
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriter,stringLiteral,Complex Method,Cyclomatic complexity of the method is 9
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriter,stringLiteral,Missing default,The following switch statement is missing a default case: switch (c) {
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriter,modifiers,Complex Method,Cyclomatic complexity of the method is 10
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriter,hangingIndent,Magic Number,The method contains a magic number: 2
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,abstractMethodDeclaration,Long Statement,The length of the statement "javaWriter.beginMethod("java.lang.String"`"foo"`Modifier.ABSTRACT | Modifier.PUBLIC`"java.lang.Object"`"object"`"java.lang.String"`"s");" is 136.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,abstractMethodDeclaration,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "class Foo {\n"+ " public abstract String foo(Object object` String s);\n"+ "}\n");" is 133.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,statement,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "class Foo {\n"+ " int foo(String s) {\n"+ " int j = s.length() + 13;\n"+ " }\n"+ "}\n");" is 139.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,statement,Magic Number,The method contains a magic number: 13
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,multiLineStatement,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "class Triangle {\n"+ " double pythagorean(int a` int b) {\n"+ " int cSquared = a * a\n"+ " + b * b;\n"+ " return Math.sqrt(cSquared);\n"+ " }\n"+ "}\n");" is 204.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,addImport,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "import java.util.ArrayList;\n"+ "public final class Foo {\n"+ " ArrayList list = new java.util.ArrayList();\n"+ "}\n");" is 170.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,ifControlFlow,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "class Foo {\n"+ " int foo(String s) {\n"+ " if (s.isEmpty()) {\n"+ " int j = s.length() + 13;\n"+ " }\n"+ " }\n"+ "}\n");" is 172.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,ifControlFlow,Magic Number,The method contains a magic number: 13
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,doWhileControlFlow,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "class Foo {\n"+ " int foo(String s) {\n"+ " do {\n"+ " int j = s.length() + 13;\n"+ " } while (s.isEmpty());\n"+ " }\n"+ "}\n");" is 179.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,doWhileControlFlow,Magic Number,The method contains a magic number: 13
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,tryCatchFinallyControlFlow,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "class Foo {\n"+ " int foo(String s) {\n"+ " try {\n"+ " int j = s.length() + 13;\n"+ " } catch (RuntimeException e) {\n"+ " e.printStackTrace();\n"+ " } finally {\n"+ " int k = 13;\n"+ " }\n"+ " }\n"+ "}\n");" is 259.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,tryCatchFinallyControlFlow,Magic Number,The method contains a magic number: 13
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,tryCatchFinallyControlFlow,Magic Number,The method contains a magic number: 13
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,annotatedType,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "import javax.inject.Singleton;\n"+ "@Singleton\n"+ "@SuppressWarnings(\"unchecked\")\n"+ "class Foo {\n"+ "}\n");" is 164.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,annotatedWithAttributes,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "@Module(\n"+ " overrides = true`\n"+ " entryPoints = {\n"+ " entryPointA`\n"+ " entryPointB`\n"+ " entryPointC\n"+ " }`\n"+ " staticInjections = com.squareup.Quux\n"+ ")\n"+ "class FooModule {\n"+ "}\n");" is 255.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,parameterizedType,Long Statement,The length of the statement "assertCode("" + "package com.squareup;\n" + "\n"+ "import java.util.Date;\n"+ "import java.util.Map;\n"+ "class Foo {\n"+ " Map<String` Date> map;\n"+ "}\n");" is 158.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,multilineJavadoc,Long Statement,The length of the statement "javaWriter.emitJavadoc("0123456789 0123456789 0123456789 0123456789 0123456789 0123456789\n" + "0123456789 0123456789 0123456789 0123456789");" is 142.
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,multilineJavadoc,Long Statement,The length of the statement "assertCode("" + "/**\n" + " * 0123456789 0123456789 0123456789 0123456789 0123456789 0123456789\n"+ " * 0123456789 0123456789 0123456789 0123456789\n"+ " */\n");" is 161.
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,compressType,Complex Method,Cyclomatic complexity of the method is 8
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,isClassInPackage,Magic Number,The method contains a magic number: 2
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,beginType,Long Parameter List,The method has 5 parameters. 
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,beginType,Long Parameter List,The method has 5 parameters. 
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,beginMethod,Long Parameter List,The method has 5 parameters. 
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,beginMethod,Complex Method,Cyclomatic complexity of the method is 9
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,beginMethod,Long Parameter List,The method has 5 parameters. 
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,emitAnnotation,Missing default,The following switch statement is missing a default case: switch (attributes.size()) {
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,stringLiteral,Complex Method,Cyclomatic complexity of the method is 10
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,stringLiteral,Missing default,The following switch statement is missing a default case: switch (c) {
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,modifiersAsSet,Complex Method,Cyclomatic complexity of the method is 10
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,hangingIndent,Magic Number,The method contains a magic number: 2
