,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unutilized Abstraction,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Feature Envy,0.19,0.19,0.01,0.0,0.03,0.03,0.01
Broken Hierarchy,0.2,0.18,0.04,0.11,0.04,0.0,0.0
Broken Modularization,0.32,0.32,0.13,0.13,0.0,0.0,0.0
Insufficient Modularization,0.14,0.14,0.0,0.06,0.04,0.0,0.0
Wide Hierarchy,0.79,0.79,0.0,0.0,0.0,0.0,0.0
Unnecessary Abstraction,0.09,0.1,0.0,0.07,0.02,0.01,0.02
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
