,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,1.0,1.0,0.27,0.03,0.15,0.7,0.75
Unutilized Abstraction,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Feature Envy,0.53,0.61,0.08,0.03,0.03,0.49,0.36
Broken Hierarchy,0.81,0.81,0.54,0.0,0.35,0.57,0.75
Broken Modularization,0.96,0.96,0.1,0.0,0.0,1.0,0.78
Insufficient Modularization,1.0,1.0,0.34,0.0,0.0,1.0,1.0
Wide Hierarchy,1.0,1.0,0.22,0.0,0.0,1.0,1.0
Unnecessary Abstraction,0.21,0.21,0.16,0.0,0.0,0.88,0.78
Multifaceted Abstraction,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Cyclically-dependent Modularization,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
