,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.08,0.08,0.04,0.02,0.01,0.02,0.79
Unutilized Abstraction,0.18,0.24,0.02,0.0,0.03,0.04,0.63
Feature Envy,0.24,0.28,0.04,0.02,0.02,0.04,0.44
Broken Hierarchy,0.36,0.4,0.05,0.0,0.05,0.09,0.4
Broken Modularization,0.0,0.15,0.0,0.0,0.0,0.0,0.8
Insufficient Modularization,0.0,0.03,0.0,0.0,0.0,0.03,0.47
Wide Hierarchy,0.14,0.16,0.02,0.0,0.01,0.03,0.68
Unnecessary Abstraction,0.21,0.21,0.02,0.0,0.0,0.03,0.57
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
